track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist
Golden Hour - Acoustic,"['York', 'Au/Ra']","['20L5MecnuNujUE6imrfK0Q', '1eMmoIprPDWeFdB1FxU6ZV']",33,"['20L5MecnuNujUE6imrfK0Q', '1eMmoIprPDWeFdB1FxU6ZV']",6N7aRoQR7oP6DBNQehHt9k,2021-12-08,0.618,0.255,0,-11.144,1,0.03,0.729,5.05e-06,0.103,0.0848,114.969,audio_features,6N7aRoQR7oP6DBNQehHt9k,187307,4,416329,124,2
Atlantis - Acoustic Version,['John Dahlbäck'],['15xvsJMf8phaNa1LYvL9Qv'],26,['15xvsJMf8phaNa1LYvL9Qv'],6rUgmZtH7GMCDMMkYAOslN,2016-08-22,0.677,0.314,6,-12.173,1,0.0318,0.717,0.000298,0.11,0.28,128.013,audio_features,6rUgmZtH7GMCDMMkYAOslN,254530,4,114439,50,1
Destiny (Acoustic Version),"['Markus Schulz', 'Delacey']","['6OO0PboZcIWUWL7j2IyeoL', '1thbOfXak53dM1Xabq3pmb']",0,"['6OO0PboZcIWUWL7j2IyeoL', '1thbOfXak53dM1Xabq3pmb']",0ViifrNFDm3IKycXfvkuA3,2016-04-29,0.352,0.325,3,-7.958,0,0.0327,0.239,0,0.134,0.267,128.209,audio_features,0ViifrNFDm3IKycXfvkuA3,193275,4,332137,103,2
Sun & Moon - Live At The Hollywood Bowl,['Above & Beyond'],['10gzBoINW3cLJfZUka8Zoe'],32,['10gzBoINW3cLJfZUka8Zoe'],512MBYuQD7lJr4oBqHjh0A,2018-04-17,0.349,0.507,6,-10.322,0,0.032,0.732,0,0.945,0.267,136.515,audio_features,512MBYuQD7lJr4oBqHjh0A,301747,4,695813,68,1
This Is What It Feels Like - John Ewbank Classical Remix,"['Armin van Buuren', 'John Ewbank', 'Trevor Guthrie']","['0SfsnGyD8FpIN4U4WCkBZ5', '16mR35QsbHY5CUlzRHMFnG', '6NXk2pLFocS2OkNdT7ncBt']",32,"['0SfsnGyD8FpIN4U4WCkBZ5', '16mR35QsbHY5CUlzRHMFnG', '6NXk2pLFocS2OkNdT7ncBt']",77Rx3xMZWX1NxEUnFwQavQ,2013-11-08,0.491,0.359,7,-10.047,1,0.0351,0.421,2.15e-06,0.131,0.175,121.684,audio_features,77Rx3xMZWX1NxEUnFwQavQ,192724,3,4064130,187,3
Show You Love - Acoustic,"['Kato', 'Sigala', 'Hailee Steinfeld']","['1udruffum7CorOphFUMB9A', '1IueXOQyABrMOprrzwQJWN', '5p7f24Rk5HkUZsaS3BLG5F']",28,"['1udruffum7CorOphFUMB9A', '1IueXOQyABrMOprrzwQJWN', '5p7f24Rk5HkUZsaS3BLG5F']",2nWHcM4Oa8bs24uthT2REP,2017-04-14,0.428,0.458,5,-6.592,0,0.0327,0.449,0,0.101,0.346,113.907,audio_features,2nWHcM4Oa8bs24uthT2REP,197666,4,8932087,205,3
Scared to Be Lonely - Acoustic Version,"['Martin Garrix', 'Dua Lipa']","['60d24wfXkVzDSfLS6hyCjZ', '6M2wZ9GZgrQXHCFfjv46we']",62,"['60d24wfXkVzDSfLS6hyCjZ', '6M2wZ9GZgrQXHCFfjv46we']",29CjkGjZnDVdJsfbRoNOGJ,2017-04-07,0.365,0.2,4,-10.972,1,0.0345,0.697,0,0.0804,0.133,128.042,audio_features,29CjkGjZnDVdJsfbRoNOGJ,257357,4,47381484,175,2
Love Is Gone (Orchestral Cover),"['SLANDER', 'Dylan Matthew', 'Greenice']","['20DZAfCuP1TKZl5KcY7z3Q', '6d0ZjIp5L7Ygy2l02HskRX', '34bZqO84T0Z4JOJqgbPMdF']",32,"['20DZAfCuP1TKZl5KcY7z3Q', '6d0ZjIp5L7Ygy2l02HskRX', '34bZqO84T0Z4JOJqgbPMdF']",3F4HFMlD7l1qKTG4h4CALU,2021-01-01,0.58,0.392,6,-8.92,1,0.0332,0.422,0.0156,0.114,0.173,139.985,audio_features,3F4HFMlD7l1qKTG4h4CALU,476977,4,415906,163,3
Sharks In The Woods - Acoustic Version,"['Paji', 'Yves Paquet']","['7JlIc6aw1PyoBKQg9c1EnJ', '7rIXWoVhS7nzMxupPhKmum']",28,"['7JlIc6aw1PyoBKQg9c1EnJ', '7rIXWoVhS7nzMxupPhKmum']",3xtqerkO14wOBq7moeYHqI,2016-12-21,0.527,0.107,6,-11.375,0,0.0338,0.457,0,0.138,0.317,119.622,audio_features,3xtqerkO14wOBq7moeYHqI,162647,4,13962,75,2
Lonely Together - Acoustic,"['Avicii', 'Rita Ora']","['1vCWHaC5f2uS3yhpwWbIA6', '5CCwRZC6euC8Odo6y9X8jr']",52,"['1vCWHaC5f2uS3yhpwWbIA6', '5CCwRZC6euC8Odo6y9X8jr']",3fgjE7IXIkrPag6YKcKeHa,2017-10-27,0.464,0.417,4,-6.402,1,0.0361,0.816,0,0.17,0.511,102.561,audio_features,3fgjE7IXIkrPag6YKcKeHa,182079,4,28556361,165,2
Hey - Acoustic,"['FÄIS', 'Afrojack']","['5w6mMj1qwSILG0pcylfchp', '4D75GcNG95ebPtNvoNVXhz']",49,"['5w6mMj1qwSILG0pcylfchp', '4D75GcNG95ebPtNvoNVXhz']",28vyxr4A3WyiZ9dR1mTIr5,2016-05-27,0.501,0.189,7,-10.475,1,0.0435,0.708,0,0.114,0.387,86.066,audio_features,28vyxr4A3WyiZ9dR1mTIr5,156804,3,3831926,129,2
Walking With Shadows - Acoustic Version,"['John Dahlbäck', 'BullySongs']","['15xvsJMf8phaNa1LYvL9Qv', '5YMqwPmb7ViNXM63g1MUH5']",27,"['15xvsJMf8phaNa1LYvL9Qv', '5YMqwPmb7ViNXM63g1MUH5']",0fUsv9EmTEJNm3ydxOAIHL,2016-08-22,0.528,0.295,10,-10.838,1,0.0371,0.867,0.00199,0.125,0.246,119.984,audio_features,0fUsv9EmTEJNm3ydxOAIHL,161725,4,117114,100,2
Concrete Angel (acoustic),['Christina Novelli'],['1dbzT291PCwwYJK0l3Tr1n'],43,['1dbzT291PCwwYJK0l3Tr1n'],62sJECqRfQ6P7pkNwfnkaO,2014-11-11,0.461,0.325,2,-6.897,1,0.0316,0.798,0,0.097,0.179,104.972,audio_features,62sJECqRfQ6P7pkNwfnkaO,265719,4,36533,57,1
Carry Me Away - Live Acoustic Version,['Emma Hewitt'],['1t65YxEAtU3iii6bCzSGF8'],30,['1t65YxEAtU3iii6bCzSGF8'],6XQFlHxU5apTlm0RR9CbJ7,2012-11-09,0.449,0.255,0,-15.569,1,0.0338,0.857,0,0.102,0.163,121.324,audio_features,6XQFlHxU5apTlm0RR9CbJ7,183211,4,81772,54,1
Dancing On My Own,['Calum Scott'],['6ydoSd3N2mwgwBHtF6K7eX'],83,['6ydoSd3N2mwgwBHtF6K7eX'],2BOqDYLOJBiMOXShCV1neZ,2018-03-09,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,audio_features,2BOqDYLOJBiMOXShCV1neZ,260285,4,3960861,83,1
Follow Me (Acoustic Version),"['Moonbeam & Indifferent Guy', 'Moonbeam', 'Indifferent Guy', 'Eva Pavlova']","['6gomCcu6pxxpZGmWpxMoWD', '3QiHmFCzfmjt1XDPSdRh0D', '2pgmYfk5zGnKM7rBWZgEP3', '70xyW0NkRUSXNrpFHihYEA']",0,"['6gomCcu6pxxpZGmWpxMoWD', '3QiHmFCzfmjt1XDPSdRh0D', '2pgmYfk5zGnKM7rBWZgEP3', '70xyW0NkRUSXNrpFHihYEA']",2pLE33FR1hBKBh20aouYHJ,2015-04-13,0.751,0.431,0,-7.523,0,0.0425,0.439,6e-05,0.125,0.297,117.065,audio_features,2pLE33FR1hBKBh20aouYHJ,161000,4,16113,93,4
