track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist,genre
Surround Sound (feat. 21 Savage & Baby Tate),"['JID', '21 Savage', 'Baby Tate']","['6U3ybJ9UHNKEdsH7ktGBZ7', '1URnnhqYAYcrqrcwql10ft', '3IJ21966TwNZI24MwZHMu4']",82,"['6U3ybJ9UHNKEdsH7ktGBZ7', '1URnnhqYAYcrqrcwql10ft', '3IJ21966TwNZI24MwZHMu4']",0cp97b37sFNsdIbQH6po3T,2022-01-14,0.57,0.573,5,-6.935,1,0.476,0.156,0,0.256,0.517,76.006,audio_features,0cp97b37sFNsdIbQH6po3T,229938,4,11784658,246,3,hiphop
P power (feat. Drake),"['Gunna', 'Drake']","['2hlmm7s2ICUX0LVIhVFlZQ', '3TVXtAsR1Inumwj472S9r4']",85,"['2hlmm7s2ICUX0LVIhVFlZQ', '3TVXtAsR1Inumwj472S9r4']",0lEjxUUlKqjqXrVlIHFduD,2022-01-07,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,audio_features,0lEjxUUlKqjqXrVlIHFduD,193347,4,65153637,190,2,hiphop
Love & War,['Kodak Black'],['46SHBwWsqBkxI7EeeBEQG7'],82,['46SHBwWsqBkxI7EeeBEQG7'],1WGmhglF1ghRiHsx4YUq86,2021-12-15,0.762,0.649,11,-5.624,0,0.0527,0.58,1.7e-05,0.0971,0.501,145.09,audio_features,1WGmhglF1ghRiHsx4YUq86,239146,4,7803603,86,1,hiphop
thailand,['Roddy Ricch'],['757aE44tKEUQEqRuT6GnEB'],78,['757aE44tKEUQEqRuT6GnEB'],0qHPxjC83zQYcxe39xSShx,2021-12-17,0.875,0.478,7,-10.562,1,0.218,0.00717,0,0.147,0.409,128.99,audio_features,0qHPxjC83zQYcxe39xSShx,200959,4,7572256,86,1,hiphop
trademark usa,['Baby Keem'],['5SXuuuRpukkTvsLuUknva1'],80,['5SXuuuRpukkTvsLuUknva1'],15hJmqqEtASVXl6sM7i4UF,2021-09-10,0.615,0.6,10,-5.62,1,0.27,0.107,1.61e-06,0.283,0.0661,130.027,audio_features,15hJmqqEtASVXl6sM7i4UF,270671,4,711670,82,1,hiphop
Too Hot (feat. Moneybagg Yo),"['NLE Choppa', 'Moneybagg Yo']","['0ErzCpIMyLcjPiwT4elrtZ', '3tJoFztHeIJkJWMrx0td2f']",76,"['0ErzCpIMyLcjPiwT4elrtZ', '3tJoFztHeIJkJWMrx0td2f']",3RceLAxBxCr8HihEVC24K9,2022-01-14,0.917,0.507,2,-4.208,0,0.415,0.325,0,0.269,0.23,120.013,audio_features,3RceLAxBxCr8HihEVC24K9,216357,4,6911874,166,2,hiphop
Bussin,"['Nicki Minaj', 'Lil Baby']","['0hCNtLu0JehylgoiP8L4Gh', '5f7VJjfbwm532GiveGC0ZK']",81,"['0hCNtLu0JehylgoiP8L4Gh', '5f7VJjfbwm532GiveGC0ZK']",7lcI4X8RZxK4zIknJcwpBq,2022-02-11,0.893,0.699,11,-8.059,1,0.0517,0.0576,3.02e-06,0.128,0.747,139.972,audio_features,7lcI4X8RZxK4zIknJcwpBq,136761,4,33843943,183,2,hiphop
Retaliation,['22Gz'],['4JhbRL6zaItAyzqx4gHTqz'],73,['4JhbRL6zaItAyzqx4gHTqz'],1NE8EEo8xpxTLAYHJbmsrY,2021-09-22,0.924,0.681,11,-6.94,1,0.294,0.011,1.21e-06,0.0972,0.491,141.982,audio_features,1NE8EEo8xpxTLAYHJbmsrY,148687,4,301430,67,1,hiphop
Gospel (with Eminem),"['Dr. Dre', 'Eminem']","['6DPYiyq5kWVQS4RGwxzPC7', '7dGJo4pcD2V6oG8kP0tJRR']",83,"['6DPYiyq5kWVQS4RGwxzPC7', '7dGJo4pcD2V6oG8kP0tJRR']",3a2jFwnts4Cf0OwJbK61SL,2022-02-04,0.919,0.869,1,-4.441,1,0.232,0.103,1.2e-05,0.166,0.655,117.03,audio_features,3a2jFwnts4Cf0OwJbK61SL,210027,4,59398516,182,2,hiphop
Million Dollars Worth of Game (feat. 42 Dugg),"['2 Chainz', '42 Dugg']","['17lzZA2AlOHwCwFALHttmp', '45gHcnDnMC15sgx3VL7ROG']",76,"['17lzZA2AlOHwCwFALHttmp', '45gHcnDnMC15sgx3VL7ROG']",3IZWCcD1FYpyeY3ki2VUmL,2022-01-07,0.808,0.677,2,-4.922,1,0.106,0.00407,0,0.132,0.46,97.009,audio_features,3IZWCcD1FYpyeY3ki2VUmL,159840,4,7502229,161,2,hiphop
